filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
firmware/src/deluge/memory/stealable.h,1,1,1.0,0,0,,1,1,1.0
firmware/src/deluge/model/clip/clip_instance.cpp,16,0,0.0,16,0,0.0,3,0,0.0
firmware/src/deluge/model/clip/clip_instance_vector.cpp,6,5,0.833,8,4,0.5,2,2,1.0
firmware/src/deluge/model/clip/clip_minder.cpp,2,2,1.0,0,0,,1,1,1.0
firmware/src/deluge/model/consequence/consequence.cpp,7,5,0.7140000000000001,0,0,,2,2,1.0
firmware/src/deluge/model/consequence/consequence.h,1,0,0.0,0,0,,1,0,0.0
firmware/src/deluge/model/consequence/consequence_begin_playback.cpp,9,9,1.0,6,6,1.0,2,2,1.0
firmware/src/deluge/model/consequence/consequence_clip_horizontal_shift.cpp,14,14,1.0,2,2,1.0,2,2,1.0
firmware/src/deluge/model/consequence/consequence_clip_instance_change.cpp,19,18,0.9470000000000001,2,1,0.5,2,2,1.0
firmware/src/deluge/model/consequence/consequence_clip_instance_existence.cpp,21,19,0.905,10,6,0.6,2,2,1.0
firmware/src/deluge/model/consequence/consequence_clip_length.cpp,15,12,0.8,2,1,0.5,2,2,1.0
firmware/src/deluge/model/consequence/consequence_instrument_clip_multiply.cpp,9,9,1.0,2,2,1.0,2,2,1.0
firmware/src/deluge/model/consequence/consequence_note_array_change.cpp,15,15,1.0,10,7,0.7,2,2,1.0
firmware/src/deluge/model/consequence/consequence_note_existence.cpp,33,31,0.9390000000000001,14,9,0.643,2,2,1.0
firmware/src/deluge/model/consequence/consequence_note_row_horizontal_shift.cpp,19,17,0.895,4,3,0.75,2,2,1.0
firmware/src/deluge/model/consequence/consequence_note_row_length.cpp,15,9,0.6,0,0,,3,2,0.667
firmware/src/deluge/model/consequence/consequence_note_row_mute.cpp,12,12,1.0,6,3,0.5,2,2,1.0
firmware/src/deluge/model/consequence/consequence_output_existence.cpp,12,11,0.917,4,3,0.75,2,2,1.0
firmware/src/deluge/model/consequence/consequence_param_change.cpp,11,7,0.636,8,3,0.375,2,1,0.5
firmware/src/deluge/model/consequence/consequence_performance_view_press.cpp,9,9,1.0,0,0,,2,2,1.0
firmware/src/deluge/model/consequence/consequence_scale_add_note.cpp,7,7,1.0,2,2,1.0,2,2,1.0
firmware/src/deluge/model/consequence/consequence_swing_change.cpp,7,7,1.0,0,0,,2,2,1.0
firmware/src/deluge/model/consequence/consequence_tempo_change.cpp,11,10,0.909,6,1,0.16699999999999998,2,2,1.0
firmware/src/deluge/model/drum/drum_name.cpp,8,8,1.0,2,1,0.5,2,2,1.0
firmware/src/deluge/model/iterance/iterance.cpp,20,20,1.0,24,23,0.958,4,4,1.0
firmware/src/deluge/model/iterance/iterance.h,3,3,1.0,4,3,0.75,2,2,1.0
